category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Action Games,"28 Apr, 2021",Wargaming Group Limited,World of Tanks,win,None,Very Positive,84886,"Tanks,Free,to,Play,Action,Military,PvP,Vehicular,Combat,Multiplayer,Team-Based,Tactical,Massively,Multiplayer,War,Historical,World,War,II,Simulation,Co-op,Realistic,Shooter,Third,Person,Third-Person,Shooter,PvE"
Strategy Games/Hooded Horse Franchise,"26 Apr, 2024",Slavic Magic,Manor Lords,win,"104,99zł",Very Positive,58840,"Strategy,City,Builder,Simulation,Base,Building,Management,Building,Sandbox,Historical,Resource,Management,4X,RTS,Open,World,Economy,Singleplayer,Grand,Strategy,Colony,Sim,Replay,Value,Moddable,Early,Access,Real-Time,with,Pause"
Massively Multiplayer Games,"24 May, 2017",Pearl Abyss,Black Desert,win,"405,83zł",Mostly Positive,58469,"MMORPG,Massively,Multiplayer,Open,World,Character,Customization,RPG,Adventure,Fantasy,Action,Strategy,3D,Multiplayer,Medieval,Crafting,Magic,Atmospheric,Simulation,PvP,Cooking,Combat,War"
Free To Play Games,"21 Dec, 2017",PUBG Corporation,PUBG: BATTLEGROUNDS,win,None,Mixed,2527007,"Survival,Shooter,Battle,Royale,Multiplayer,FPS,PvP,Third-Person,Shooter,Action,Online,Co-Op,Tactical,Co-op,First-Person,Strategy,Early,Access,Competitive,Third,Person,Team-Based,Difficult,Simulation,Stealth"
Simulation Games,"17 Oct, 2018",Ludeon Studios,RimWorld,"win,mac,linux","111,99zł",Overwhelmingly Positive,175059,"Colony,Sim,Base,Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,Moddable,City,Builder,Open,World,Procedural,Generation,2D,Sci-fi,Indie,Space,Tactical,RPG,Cartoony,Western"
Strategy Games/Coffee Stain Franchise,"10 Sep, 2024",Coffee Stain Studios,Satisfactory,win,"129,49zł",Overwhelmingly Positive,191540,"Base,Building,Automation,Open,World,Multiplayer,Crafting,Co-op,Resource,Management,Building,Sandbox,Exploration,Adventure,Open,World,Survival,Craft,Survival,Simulation,First-Person,Strategy,Sci-fi,Singleplayer,Early,Access,Indie"
Strategy Games,"5 May, 2022",LUXO Interactive,SCP Strategy,win,"83,94zł",Very Positive,510,"Strategy,Simulation,Management,Experimental,Open,World,Sandbox,Choose,Your,Own,Adventure,Colony,Sim,Investigation,Time,Management,3D,Isometric,Top-Down,Alternate,History,Dark,Fantasy,Detective,Illuminati,Science,Base,Building,Choices,Matter"
Strategy Games/Hearts of Iron - Official Franchise,"6 Jun, 2016",Paradox Development Studio,Hearts of Iron IV,"win,mac,linux","776,68zł",Very Positive,231926,"Strategy,World,War,II,Grand,Strategy,War,Historical,Military,Alternate,History,Multiplayer,Simulation,Tactical,Singleplayer,Real-Time,with,Pause,RTS,Diplomacy,Sandbox,Co-op,Strategy,RPG,Open,World,Competitive,Action"
Free To Play Games/Dota Franchise,"9 Jul, 2013",Valve,Dota 2,"win,mac,linux","520,04zł",Very Positive,2462909,"Free,to,Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online,Co-Op,PvP,Difficult,Co-op,RTS,RPG,Tower,Defense,Fantasy,Character,Customization,Replay,Value,Action,RPG,Simulation"
Strategy Games/Civilization Franchise Franchise,"10 Feb, 2025",Firaxis Games,Sid Meier's Civilization VII,"win,mac,linux",None,Mixed,29303,"Strategy,Turn-Based,Strategy,4X,Grand,Strategy,Historical,Simulation,Hex,Grid,Multiplayer,Tactical,Singleplayer,City,Builder,Political,Sim,Diplomacy,Turn-Based,Tactics,Economy,Alternate,History,War,PvP,Replay,Value,Stylized"
