category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Casual Games,"24 Mar, 2025",Drive Beyond Horizons,Drive Beyond Horizons,win,"182,98zł",Very Positive,2737,"Early,Access,Adventure,Action,Simulation,Automobile,Sim,Casual,Exploration,Driving,Shooter,Multiplayer,FPS,First-Person,Realistic,Post-apocalyptic,Racing,Co-op,Horror,Survival,Open,World,Online,Co-Op"
Strategy Games/Age of Empires Franchise Franchise,"28 Oct, 2021",World's EdgeRelic EntertainmentForgotten EmpiresClimax Studios,Age of Empires IV: Anniversary Edition,win,"63,99zł",Very Positive,60021,"Strategy,RTS,Base,Building,Multiplayer,War,Singleplayer,Resource,Management,Medieval,City,Builder,Historical,Action,RTS,PvP,PvE,Co-op,3D,Management,Isometric,Open,World,Online,Co-Op,Mature"
Action Games,"30 Apr, 2025",Eldritch Sword Games,Conquest Dark,win,"79,18zł",Very Positive,455,"Action,Action,RPG,RPG,Action,Roguelike,Roguelite,Roguelike,Isometric,Dark,Fantasy,Alternate,History,Fantasy,Early,Access,Medieval,Indie,Violent,Bullet,Hell,Mythology,Dark,Nudity,Controller,Linear"
Action Games/Assassin's Creed Franchise,"17 Oct, 2024",Ubisoft Bordeaux,Assassin's Creed Mirage,win,"79,96zł",Mostly Positive,6625,"Action,Open,World,Adventure,Assassin,Action-Adventure,Parkour,RPG,Singleplayer,Historical,Third,Person,Action,RPG,Stealth,Violent,Story,Rich,Atmospheric"
Adventure Games/Electronic Arts Franchise,"25 Mar, 2021",Hazelight Studios,It Takes Two,win,"62,96zł",Overwhelmingly Positive,179327,"Co-op,Multiplayer,Split,Screen,Local,Co-Op,Puzzle,Online,Co-Op,Adventure,Story,Rich,Co-op,Campaign,Local,Multiplayer,Puzzle,Platformer,3D,Platformer,Action-Adventure,Emotional,Platformer,Action,Exploration,Atmospheric,Minigames,Female,Protagonist"
Adventure Games,"3 Jun, 2020",Rare Ltd,Sea of Thieves: 2025 Edition,win,"99,50zł",Very Positive,305334,"Multiplayer,Open,World,Adventure,Pirates,Co-op,Online,Co-Op,Action,PvP,Sailing,First-Person,Exploration,Naval,PvE,Funny,Massively,Multiplayer,FPS,Atmospheric,Swordplay,Singleplayer,Great,Soundtrack"
Simulation Games,"30 Jan, 2025",Sunblink,Hello Kitty Island Adventure,win,"240,00zł",Very Positive,4205,"Cozy,Open,World,Simulation,Adventure,Life,Sim,Exploration,Casual,Colorful,Cute,Immersive,Sim,Cooking,Family,Friendly,Crafting,Relaxing,Story,Rich,Action,Puzzle,3D,Isometric,Horror"
Strategy Games,"22 May, 2020",Iron Boar Labs Ltd.,High Strategy: Urukon,win,None,Very Positive,97,"Indie,Strategy,Grand,Strategy,Resource,Management,2D,Sci-fi,Turn-Based,Strategy,Turn-Based,War,Experimental,Singleplayer,Top-Down,PvE,Hand-drawn,Post-apocalyptic"
Adventure Games/Dead Space Franchise,"27 Jan, 2023",Motive,Dead Space,win,"67,47zł",Very Positive,43971,"Horror,Third-Person,Shooter,Sci-fi,Space,Survival,Horror,Shooter,Psychological,Horror,Action-Adventure,Singleplayer,Third,Person,Atmospheric,Action,Survival,Remake,Aliens,Dark,Violent,Adventure,Combat,Blood"
Simulation Games,"5 Jun, 2020",Pavel Kudinov,Space Simulation Toolkit,win,None,Mostly Positive,343,"Simulation,Early,Access,Indie,Physics,Sandbox,Free,to,Play,Artificial,Intelligence,2D,Space,Space,Sim,Education,2D,Platformer,Exploration,Roguelite,1980s,1990's,Singleplayer,Building"
