category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Simulation Games,"2 Apr, 2021",Lavaflame2,IdleOn - The Idle RPG,win,Free To Play,Mostly Positive,21292,"Idler,Pixel,Graphics,MMORPG,Free,to,Play,Management,RPG,Multiplayer,Clicker,Crafting,Resource,Management,Sandbox,Massively,Multiplayer,Indie,Casual,Simulation,Character,Customization,Early,Access,PvE,Old,School,Cute"
Action Games,"6 Dec, 2024",Grinding Gear Games,Path of Exile 2,win,"124,87zł",Mostly Positive,124811,"Action,RPG,Hack,and,Slash,Souls-like,RPG,Dark,Fantasy,Action,MMORPG,Isometric,Dungeon,Crawler,Loot,Adventure,Multiplayer,Online,Co-Op,Character,Customization,Inventory,Management,Early,Access,Crafting,Horror,Dark,Free,to,Play"
Action Games/Holyday Studios Franchise,"1 Apr, 2024",Holyday Studios,Firestone: Online Idle RPG,"win,mac,linux",Free To Play,Mostly Positive,6255,"Idler,Clicker,RPG,Free,to,Play,Action,Simulation,Auto,Battler,Co-op,Violent,MMORPG,Multiplayer,Massively,Multiplayer,Time,Management,Online,Co-Op,2D,PvE,Team-Based,Indie,PvP,Gore"
Action Games/Assassin's Creed Franchise,"17 Oct, 2024",Ubisoft Bordeaux,Assassin's Creed Mirage,win,"215,70zł",Mostly Positive,6640,"Action,Open,World,Adventure,Assassin,Action-Adventure,Parkour,RPG,Singleplayer,Historical,Third,Person,Action,RPG,Stealth,Violent,Story,Rich,Atmospheric"
Racing Games/Need for Speed Franchise,"8 Nov, 2019",Ghost Games,Need for Speed™ Heat,win,"25,00zł",Very Positive,107773,"Racing,Multiplayer,Open,World,Driving,Action,Singleplayer,Co-op,Adventure,Combat,Racing,Atmospheric,Online,Co-Op,Third,Person,Arcade,Controller,Sports,PvP,First-Person,Character,Customization,Destruction,Split,Screen"
Simulation Games/PlayWay S.A. Franchise,"13 Dec, 2024",SimRail S.A.,SimRail - The Railway Simulator,win,"149,99zł",Very Positive,4206,"Trains,Simulation,Transportation,Multiplayer,Driving,Realistic,Singleplayer,Massively,Multiplayer,Physics,Online,Co-Op,Automobile,Sim,Immersive,Sim,Open,World,Family,Friendly,3D,Exploration,Experience,First-Person,Life,Sim,Word,Game"
Adventure Games,Coming soon,Meys Gaming,Gassal Simulation,win,None,,,"Early,Access,Simulation,Multiplayer,Singleplayer,Tutorial,Casual,FPS,Driving,Education,Physics,Life,Sim,Open,World,Action-Adventure,3D,Match,3,First-Person,Family,Friendly,Exploration,Action,Detective"
Strategy Games,"11 Jun, 2021",Barbedwire StudiosDigitalmindsoft,Call to Arms - Gates of Hell: Ostfront,win,"179,46zł",Very Positive,22049,"World,War,II,Historical,Real,Time,Tactics,Strategy,Third,Person,RTS,War,Singleplayer,Moddable,Inventory,Management,Realistic,PvE,Multiplayer,Top-Down,Shooter,Military,PvP,Online,Co-Op,Level,Editor,Shooter,Replay,Value"
Racing Games,"27 May, 2021","Boundless Dynamics, LLC",Jetborne Racing,win,"35,99zł",Very Positive,454,"Racing,Simulation,Flight,VR,Multiplayer,Futuristic,Immersive,Sim,Physics,Indie,Singleplayer"
Racing Games,"14 Jun, 2020",Rabotiagi games,Racing Juke,win,"4,49zł",Mixed,28,"Racing,Sports,Action,Simulation,Casual,Indie,Arcade,Driving,Great,Soundtrack,Funny,Atmospheric,Singleplayer,Cartoony,Colorful,Time,Attack,Arena,Shooter,Memes"
Racing Games,"13 Aug, 2018",Simple Racing,Simple Racing,"win,mac,linux","17,99zł",Mixed,12,"Massively,Multiplayer,Indie,Casual,Racing"
