category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Action Games,"23 May, 2018","QLOCFromSoftware, Inc.",DARK SOULS™: REMASTERED,win,1199 руб.,Very Positive,81428,"Souls-like,Dark,Fantasy,RPG,Difficult,Action,Dark,Fantasy,Atmospheric,Great,Soundtrack,Action,RPG,Lore-Rich,Adventure,Multiplayer,Exploration,Story,Rich,Third,Person,Replay,Value,Character,Customization,Soundtrack,Co-op"
Strategy Games/Slitherine Franchise,"19 Jun, 2025",Steel Balalaika,Broken Arrow,win,None,,,"Strategy,Wargame,Modern,RTS,Action,RTS,Real,Time,Tactics,Deckbuilding,Tactical,War,Realistic,3D,PvP,Multiplayer,Artificial,Intelligence,Naval,Combat,Resource,Management,Military,Singleplayer,Tanks,Difficult"
Action Games,"18 Jan, 2024",Pocketpair,Palworld,win,1818 руб.,Very Positive,319545,"Open,World,Survival,Creature,Collector,Multiplayer,Open,World,Survival,Craft,Crafting,Co-op,Adventure,Sandbox,Third-Person,Shooter,Automation,Action,RPG,Early,Access,Anime,3D,PvE,Indie,Looter,Shooter,Hack,and,Slash"
Racing Games,"6 May, 2015",One Legged Seagull,Super Indie Karts,"win,mac,linux",None,Very Positive,422,"Racing,Indie,Pixel,Graphics,Retro,Driving,Sports,Early,Access,Automobile,Sim,Local,Multiplayer,Split,Screen,Arcade,Vehicular,Combat,Action,4,Player,Local,Combat,Racing,Local,Co-Op,Kickstarter,Funny,Cute,PvP"
Strategy Games,"11 Jun, 2021",Barbedwire StudiosDigitalmindsoft,Call to Arms - Gates of Hell: Ostfront,win,300 руб.,Very Positive,22047,"World,War,II,Historical,Real,Time,Tactics,Strategy,Third,Person,RTS,War,Singleplayer,Moddable,Inventory,Management,Realistic,PvE,Multiplayer,Top-Down,Shooter,Military,PvP,Online,Co-Op,Level,Editor,Shooter,Replay,Value"
Racing Games,"8 Jan, 2005",Eutechnyx,Street Racing Syndicate,win,None,Very Positive,2564,"Racing,Open,World,Driving,Singleplayer,Multiplayer,Arcade,Classic,Automobile,Sim,Sexual,Content,Nudity,Nostalgia,Action"
Free To Play Games,"2 Nov, 2017",Titulum Enterprises Limited,Warspear Online,"win,mac,linux",None,Mostly Positive,2814,"MMORPG,Free,to,Play,Pixel,Graphics,Massively,Multiplayer,RPG,Multiplayer,Online,Co-Op,Fantasy,Retro,PvP,2D,Difficult,Atmospheric,Adventure,Open,World,Story,Rich,Strategy,Sexual,Content"
Simulation Games,"28 Aug, 2024",CBgameDev,Indie Dev Story,win,None,Very Positive,96,"Free,to,Play,Clicker,Indie,Simulation,Action,Management,Voxel,3D,Strategy,Choices,Matter,Colony,Sim,Arcade,Singleplayer,Casual,2D,Capitalism,Tutorial,Short,Job,Simulator"
Simulation Games/PlayWay S.A. Franchise,"11 Aug, 2021",Red Dot Games,Car Mechanic Simulator 2021,win,1431 руб.,Overwhelmingly Positive,27935,"Simulation,Automobile,Sim,Sandbox,Realistic,Moddable,Driving,Racing,3D,Singleplayer,Education,First-Person,Immersive,Sim,Puzzle,Open,World,Atmospheric,Adventure,Minigames,VR,Indie,Strategy"
Indie Games,"25 Sep, 2019",Genesz,The Long Drive,win,None,Very Positive,41672,"Multiplayer,Driving,Open,World,Survival,Automobile,Sim,Exploration,Post-apocalyptic,Adventure,First-Person,Racing,Simulation,Shooter,Singleplayer,Horror,Sexual,Content,Early,Access,Casual,Realistic,Indie,Psychological,Horror"
Utilities,"13 Jun, 2018",UNAmedia,Sim Racing Telemetry,"win,mac",None,Mostly Positive,124,"Racing,Simulation,Utilities,Early,Access,Automobile,Sim"
Indie Games,"21 May, 2019",Beat Games,Beat Saber,win,"1745,80 руб.",Overwhelmingly Positive,68084,"VR,Rhythm,Music,Moddable,Fast-Paced,Singleplayer,First-Person,Difficult,Multiplayer,Indie,Swordplay,Action,Sports,Great,Soundtrack,Futuristic,Casual,Music-Based,Procedural,Generation,PvP,Games,Workshop,Early,Access"
Action Games,"19 Jun, 2025",Sloclap,REMATCH,win,"2468,10 руб.",,,"Sports,Football,(Soccer),PvP,eSports,Multiplayer,Simulation,Arcade,Online,Co-Op,Third-Person,Shooter,Immersive,Team-Based,Action,RTS,Real,Time,Tactics,Character,Customization,Third,Person,3D,Colorful,Stylized,Action,Futuristic"
Indie Games/Coconut Island Games Franchise,"16 Oct, 2018",90Games,eSports Legend,win,132 руб.,Mixed,1022,"Simulation,Indie,Strategy,Casual,eSports,Management,Sports,Roguelite"
Sports Games,"31 Aug, 2018",Paul Bird,Wild Animal Sports Day,"win,mac","328,50 руб.",Very Positive,246,"Cold,War,Sports,Action,Simulation,Indie,Gore,Casual,Anime,Illuminati,Memes,Cult,Classic,Hentai,Great,Soundtrack,Atmospheric,Story,Rich,Violent,Mature,Female,Protagonist,Survival,Horror,FPS"
Casual Games,"28 Sep, 2017",Crenetic GmbH Studios,Hippo Sports,win,None,4 user reviews,4,"Casual,Sports"
Action Games/Bandai Namco Entertainment Franchise,"1 Jun, 2017",BANDAI NAMCO Studios Inc.,TEKKEN 7,win,299 руб.,Very Positive,65652,"Fighting,Action,Multiplayer,Competitive,Arcade,Local,Multiplayer,Controller,3D,Fighter,Great,Soundtrack,Singleplayer,eSports,Character,Customization,Sports,Difficult,Anime,Beat,'em,up,Story,Rich,Third,Person,2D,Fighter,Atmospheric"
Sports Games,"31 Jul, 2024",Cherry Pick Games,Sports Hero,win,None,1 user reviews,1,"Sports,Action,Arcade,Pixel,Graphics,Simulation,Local,Co-Op,Difficult,2D,Local,Multiplayer,Indie,Casual,Competitive,PvE,Singleplayer,Retro,Character,Customization,Family,Friendly,PvP"
Indie Games/Z-Software GmbH Franchise,"31 Jul, 2019",Z-Software,Pilot Sports,win,None,2 user reviews,2,"Casual,Racing,Sports,Indie,Family,Friendly,4,Player,Local,Flight,Local,Multiplayer,Colorful,Split,Screen,Relaxing,Funny,Competitive,Controller,Simulation,Retro,Action,Memes,Arcade,Singleplayer"
Free To Play Games,To be announced,Dream Sports Platform,Dream Sports Platform,win,None,,,"Adventure,Action-Adventure,eSports,Party-Based,RPG,Walking,Simulator,3D,Cinematic,Sports,Realistic,Third,Person,Football,(Soccer),Character,Customization,Open,World,PvE,Quick-Time,Events,Score,Attack,Co-op,Multiplayer,Online,Co-Op,Singleplayer"
Sports Games,Coming soon,Supereo,Cat Sports Online,"win,mac",None,,,"Sports,Casual,Simulation,Tennis,PvP,Cats,Multiplayer,Golf,Character,Customization,Arcade,Fishing,Boxing,Bowling,Singleplayer,Memes,Artificial,Intelligence,Hand-drawn,eSports,Skiing,Football,(Soccer)"
Sports Games,2026,LightLight Games,Wildlife Sports : Untamed,win,None,,,"Sports,Casual,4,Player,Local,Arcade,Funny,Party,Side,Scroller,2D,Cartoony,Colorful,Cute,Basketball,Family,Friendly,Football,(Soccer),Team-Based,Local,Co-Op,Local,Multiplayer,Singleplayer,Multiplayer,Short"
Racing Games,"12 Jan, 2015",iRacing.com Motorsport SimulationsiRacing,iRacing,win,None,Very Positive,3381,"Racing,Automobile,Sim,Simulation,VR,Sports,Driving,Multiplayer,Massively,Multiplayer,Realistic,Singleplayer,Controller,eSports,First-Person,Action"
Sports Games,To be announced,defStudios,eSports Manager,win,None,,,"eSports,Management,Resource,Management,Simulation,Strategy,Sports,Tactical,Turn-Based,Tactics,Turn-Based,Strategy,Moddable,Singleplayer,Indie,Sandbox,Early,Access,Top-Down,2D,Text-Based,Action"
Adventure Games,"19 Jun, 2024",Anegar Games,Chained Together,win,None,Very Positive,44714,"Co-op,Adventure,Casual,Platformer,Puzzle,Platformer,Simulation,Action-Adventure,3D,Platformer,Third,Person,Exploration,Funny,Online,Co-Op,Multiplayer,Mystery,Post-apocalyptic,Emotional,Physics,Surreal,Controller,Choices,Matter"
Indie Games,"16 Aug, 2021",NikiGames,Casual Golf,win,None,4 user reviews,4,"Casual,Golf,6DOF,Choices,Matter,Minimalist,3D,Indie,Singleplayer"
RPG Games,"17 Aug, 2017",Bernhard Potuzak,Indeep | The casual dungeon crawler,win,None,Mixed,28,"Indie,RPG,Fantasy,Dungeon,Crawler"
Indie Games,"16 Aug, 2017",Fedora Collective,Great eSports Manager,"win,mac,linux",None,Very Positive,91,"Casual,Simulation,Strategy,Indie,RPG,Sports,Management,Memes,Pixel,Graphics"
Simulation Games/Cities: Skylines - Official Franchise,"10 Mar, 2015",Colossal Order Ltd.,Cities: Skylines,"win,mac,linux","8210,32 руб.",Very Positive,205606,"City,Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource,Management,Mod,Realistic,Replay,Value,Casual,Modern,Real-Time,with,Pause,Family,Friendly,Great,Soundtrack,Funny,Action"
Action Games,"12 Jan, 2023",youdoyou.motto,Our Casual Battlefield,win,None,,,"Action,Physics,3D,Fighter,Comedy,Minigames,Score,Attack,PvE,3D,Online,Co-Op,PvP,Multiplayer,Arcade,3D,Platformer,Superhero,Zombies,Martial,Arts,Funny,Combat,Party,Game,Singleplayer"
Indie Games/Playstack Franchise,"20 Feb, 2024",LocalThunk,Balatro,"win,mac","1448,10 руб.",Overwhelmingly Positive,118185,"Card,Game,Roguelike,Deckbuilder,Roguelike,Deckbuilding,Singleplayer,Strategy,Pixel,Graphics,Replay,Value,Roguelite,Turn-Based,Card,Battler,Casual,Choices,Matter,Difficult,2D,Turn-Based,Strategy,Relaxing,Indie,Arcade,Procedural,Generation"
Action Games,"16 Sep, 2024",Bolt Blaster Games,The Spell Brigade,"win,linux",693 руб.,Very Positive,6349,"Action,Roguelike,Online,Co-Op,Bullet,Hell,Roguelite,Co-op,Action,Magic,Roguelike,3D,Top-Down,Shooter,Multiplayer,Dark,Fantasy,Arcade,Casual,Top-Down,Score,Attack,Controller,Colorful,Early,Access,Procedural,Generation"
Casual Games,"25 Aug, 2023",HapGames,Xonix Casual Edition,win,"1139,60 руб.",Mostly Positive,14,"1990's,Remake,1980s,Retro,Arcade,Casual,Puzzle,Board,Game,Tabletop,3D,Platformer,Nonlinear,Puzzle,Platformer,Top-Down,Colorful,Abstract,Atmospheric,Minimalist,Psychedelic,3D,Indie"
